Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,1999,29,Málaga,27138,60.0,0.2210921954455008
0-4 años,Hombres,1999,30,Murcia,31337,69.0,0.220186999393688
0-4 años,Hombres,1999,31,Navarra,12241,9.0,0.07352340495057594
0-4 años,Hombres,1999,32,Ourense,4948,3.0,0.060630557801131774
0-4 años,Hombres,1999,33,Asturias,14749,12.0,0.08136144823377857
0-4 años,Hombres,1999,34,Palencia,2990,4.0,0.13377926421404682
0-4 años,Hombres,1999,35,"Palmas, Las",21668,22.0,0.10153221340225217
0-4 años,Hombres,1999,36,Pontevedra,16837,9.0,0.05345370315376849
0-4 años,Hombres,1999,37,Salamanca,6003,8.0,0.13326669998334167
0-4 años,Hombres,1999,38,Santa Cruz de Tenerife,13447,21.0,0.15616866215512754
0-4 años,Hombres,1999,39,Cantabria,9193,8.0,0.08702273468943762
0-4 años,Hombres,1999,40,Segovia,2974,1.0,0.03362474781439139
0-4 años,Hombres,1999,41,Sevilla,44351,83.0,0.187143469143875
0-4 años,Hombres,1999,42,Soria,1584,3.0,0.1893939393939394
0-4 años,Hombres,1999,43,Tarragona,13021,21.0,0.16127793564242376
0-4 años,Hombres,1999,44,Teruel,2558,1.0,0.039093041438623924
0-4 años,Hombres,1999,45,Toledo,12372,7.0,0.05657937277723893
0-4 años,Hombres,1999,46,Valencia/València,46676,59.0,0.12640329077041734
0-4 años,Hombres,1999,47,Valladolid,8694,8.0,0.09201748332183114
0-4 años,Hombres,1999,48,Bizkaia,20236,34.0,0.16801739474204389
0-4 años,Hombres,1999,49,Zamora,3168,4.0,0.12626262626262627
0-4 años,Hombres,1999,50,Zaragoza,15755,33.0,0.2094573151380514
0-4 años,Hombres,1999,51,Ceuta,2518,4.0,0.15885623510722796
0-4 años,Hombres,1999,52,Melilla,1680,2.0,0.11904761904761905
0-4 años,Hombres,2000,1,Araba/Álava,5528,1.0,0.01808972503617945
0-4 años,Hombres,2000,2,Albacete,9494,7.0,0.07373077733305244
0-4 años,Hombres,2000,3,Alicante/Alacant,32762,38.0,0.11598803491850314
0-4 años,Hombres,2000,4,Almería,13557,14.0,0.1032676845909862
0-4 años,Hombres,2000,5,Ávila,2078,1.0,0.04812319538017325
0-4 años,Hombres,2000,6,Badajoz,14903,14.0,0.09394081728511039
0-4 años,Hombres,2000,7,"Balears, Illes",19826,30.0,0.15131645314233833
0-4 años,Hombres,2000,8,Barcelona,104260,132.0,0.1266065605217725
0-4 años,Hombres,2000,9,Burgos,5845,8.0,0.13686911890504705
0-4 años,Hombres,2000,10,Cáceres,6303,11.0,0.17452006980802792
0-4 años,Hombres,2000,11,Cádiz,29710,34.0,0.1144395826321104
0-4 años,Hombres,2000,12,Castellón/Castelló,10615,11.0,0.10362694300518134
0-4 años,Hombres,2000,13,Ciudad Real,10753,6.0,0.05579838184692645
